price_min,price_max,threshold,hold,win_rate,gross_pl,fee,net_pl,trades,avg_win,avg_loss,price_range_label
95,99,25,12,1.0,13.333333333333334,0.4074000000000004,12.925933333333333,3,13.333333333333334,0.0,95-99
95,99,20,12,1.0,8.0,0.4074000000000004,7.5926,5,8.0,0.0,95-99
15,20,20,15,1.0,8.8,2.02125,6.7787500000000005,5,8.8,0.0,15-20
1,5,25,5,0.875,6.75,0.40740000000000004,6.3426,8,8.142857142857142,3.0,1-5
95,99,18,12,1.0,6.666666666666667,0.4074000000000004,6.259266666666667,6,6.666666666666667,0.0,95-99
90,99,25,12,1.0,6.857142857142857,0.7276500000000007,6.129492857142856,7,6.857142857142857,0.0,90-99
90,95,20,12,1.0,7.0,0.9712499999999997,6.0287500000000005,6,7.0,0.0,90-95
90,95,25,12,1.0,7.0,0.9712499999999997,6.0287500000000005,6,7.0,0.0,90-95
85,99,25,12,1.0,6.857142857142857,1.0303999999999998,5.8267428571428574,7,6.857142857142857,0.0,85-99
85,95,25,12,1.0,7.0,1.26,5.74,6,7.0,0.0,85-95
95,99,15,12,1.0,5.714285714285714,0.4074000000000004,5.306885714285714,7,5.714285714285714,0.0,95-99
90,95,18,12,1.0,6.0,0.9712499999999997,5.0287500000000005,7,6.0,0.0,90-95
15,25,20,15,0.9,6.9,2.24,4.66,10,8.555555555555555,8.0,15-25
90,99,20,12,1.0,5.333333333333333,0.7276500000000007,4.6056833333333325,9,5.333333333333333,0.0,90-99
10,15,20,7,1.0,6.0,1.5312500000000002,4.46875,7,6.0,0.0,10-15
5,10,15,15,1.0,5.25,0.9712500000000001,4.27875,8,5.25,0.0,5-10
85,95,20,12,1.0,5.4,1.26,4.140000000000001,15,5.4,0.0,85-95
15,20,18,15,0.8571428571428571,6.1428571428571415,2.02125,4.121607142857141,7,7.333333333333333,1.0,15-20
1,15,30,7,1.0,5.0,1.0304000000000002,3.9696,6,5.0,0.0,1-15
5,10,25,5,0.7272727272727273,4.90909090909091,0.9712500000000001,3.93784090909091,11,7.375,1.6666666666666667,5-10
15,20,20,2,0.6363636363636364,5.90909090909091,2.02125,3.88784090909091,11,13.0,6.5,15-20
85,99,20,12,1.0,4.833333333333333,1.0303999999999998,3.8029333333333333,18,4.833333333333333,0.0,85-99
95,99,12,12,1.0,4.1,0.4074000000000004,3.692599999999999,10,4.1,0.0,95-99
90,99,18,12,1.0,4.363636363636363,0.7276500000000007,3.6359863636363627,11,4.363636363636363,0.0,90-99
15,20,18,2,0.6923076923076923,5.615384615384615,2.02125,3.5941346153846148,13,11.0,6.5,15-20
95,99,30,12,1.0,4.0,0.4074000000000004,3.5925999999999996,1,4.0,0.0,95-99
95,99,30,10,1.0,4.0,0.4074000000000004,3.5925999999999996,2,4.0,0.0,95-99
85,95,30,2,0.4,4.800000000000001,1.26,3.540000000000001,10,20.75,5.833333333333333,85-95
1,10,15,15,1.0,4.2,0.7276500000000001,3.47235,10,4.2,0.0,1-10
1,5,20,3,0.84,3.6,0.40740000000000004,3.1926,25,4.761904761904762,2.5,1-5
1,5,18,3,0.8148148148148148,3.5185185185185177,0.40740000000000004,3.1111185185185177,27,4.863636363636363,2.4,1-5
5,10,20,5,0.6923076923076923,4.0769230769230775,0.9712500000000001,3.1056730769230776,13,6.666666666666667,1.75,5-10
1,20,30,7,1.0,4.285714285714286,1.3156500000000002,2.9700642857142854,7,4.285714285714286,0.0,1-20
5,10,18,5,0.6666666666666666,3.8666666666666667,0.9712500000000001,2.8954166666666667,15,6.7,1.8,5-10
15,20,15,2,0.6363636363636364,4.909090909090909,2.02125,2.887840909090909,22,11.0,5.75,15-20
90,95,15,12,1.0,3.8181818181818183,0.9712499999999997,2.846931818181819,11,3.8181818181818183,0.0,90-95
10,15,18,7,0.9,4.3,1.5312500000000002,2.76875,10,5.111111111111111,3.0,10-15
15,20,18,3,0.6153846153846154,4.76923076923077,2.02125,2.74798076923077,13,10.375,4.2,15-20
5,15,25,5,0.8,4.000000000000001,1.2600000000000002,2.7400000000000007,15,5.416666666666667,1.6666666666666667,5-15
1,5,15,3,0.8387096774193549,3.0645161290322576,0.40740000000000004,2.6571161290322576,31,4.115384615384615,2.4,1-5
15,25,18,15,0.8571428571428571,4.857142857142857,2.24,2.6171428571428565,14,6.416666666666667,4.5,15-25
1,5,20,5,0.8125,3.0,0.40740000000000004,2.5926,16,4.461538461538462,3.3333333333333335,1-5
5,10,12,15,0.9285714285714286,3.5,0.9712500000000001,2.52875,14,4.3076923076923075,7.0,5-10
1,5,25,3,0.9285714285714286,2.928571428571429,0.40740000000000004,2.521171428571429,14,3.230769230769231,1.0,1-5
1,20,25,18,0.75,3.75,1.3156500000000002,2.43435,4,5.666666666666667,2.0,1-20
1,10,12,15,0.9375,3.0625,0.7276500000000001,2.33485,16,3.7333333333333334,7.0,1-10
15,20,15,3,0.6363636363636364,4.3181818181818175,2.02125,2.2969318181818172,22,9.642857142857142,5.0,15-20
90,99,15,12,1.0,3.0,0.7276500000000007,2.2723499999999994,16,3.0,0.0,90-99
90,99,30,12,1.0,3.0,0.7276500000000007,2.2723499999999994,3,3.0,0.0,90-99
1,10,25,5,0.7647058823529411,2.9999999999999996,0.7276500000000001,2.2723499999999994,17,4.538461538461538,2.0,1-10
95,99,10,12,0.9375,2.625,0.4074000000000004,2.2175999999999996,16,2.933333333333333,2.0,95-99
1,25,30,7,1.0,3.75,1.5834000000000001,2.1666,8,3.75,0.0,1-25
1,25,25,18,0.75,3.75,1.5834000000000001,2.1666,4,5.666666666666667,2.0,1-25
1,5,12,3,0.8378378378378378,2.540540540540541,0.40740000000000004,2.133140540540541,37,3.4516129032258065,2.1666666666666665,1-5
80,95,25,12,0.8,3.6,1.5312500000000002,2.0687499999999996,10,5.375,3.5,80-95
1,5,18,5,0.7222222222222222,2.4444444444444446,0.40740000000000004,2.0370444444444447,18,4.461538461538462,2.8,1-5
5,10,12,5,0.5945945945945946,3.0,0.9712500000000001,2.02875,37,6.7727272727272725,2.533333333333333,5-10
85,99,30,12,1.0,3.0,1.0303999999999998,1.9696000000000002,3,3.0,0.0,85-99
15,20,12,2,0.6136363636363636,3.9318181818181817,2.02125,1.9105681818181814,44,10.222222222222221,6.0588235294117645,15-20
1,5,15,5,0.7368421052631579,2.3157894736842106,0.40740000000000004,1.9083894736842106,19,4.142857142857143,2.8,1-5
90,95,25,2,0.5,2.857142857142857,0.9712499999999997,1.8858928571428575,14,12.0,6.285714285714286,90-95
1,5,8,12,0.8333333333333334,2.291666666666667,0.40740000000000004,1.884266666666667,24,3.15,2.0,1-5
85,95,30,12,1.0,3.0,1.26,1.74,3,3.0,0.0,85-95
5,15,25,7,0.6363636363636364,3.0,1.2600000000000002,1.7399999999999998,11,6.428571428571429,3.0,5-15
15,20,15,15,0.7272727272727273,3.727272727272727,2.02125,1.7060227272727269,11,5.625,1.3333333333333333,15-20
1,15,25,5,0.8095238095238095,2.7142857142857144,1.0304000000000002,1.6838857142857142,21,3.823529411764706,2.0,1-15
1,15,12,15,0.8275862068965517,2.6896551724137927,1.0304000000000002,1.6592551724137925,29,5.333333333333333,10.0,1-15
5,15,12,15,0.8148148148148148,2.8888888888888884,1.2600000000000002,1.6288888888888882,27,5.818181818181818,10.0,5-15
10,20,20,2,0.65,3.4000000000000012,1.7850000000000001,1.615000000000001,20,8.76923076923077,6.571428571428571,10-20
10,20,20,7,0.875,3.375,1.7850000000000001,1.5899999999999999,16,4.071428571428571,1.5,10-20
1,5,10,3,0.7916666666666666,1.958333333333333,0.40740000000000004,1.550933333333333,48,3.1052631578947367,2.4,1-5
10,15,15,7,0.7692307692307693,3.0769230769230775,1.5312500000000002,1.5456730769230773,13,4.8,2.6666666666666665,10-15
5,10,10,5,0.6808510638297872,2.5106382978723403,0.9712500000000001,1.5393882978723403,47,4.875,2.533333333333333,5-10
15,25,20,18,0.7777777777777778,3.7777777777777777,2.24,1.5377777777777775,9,7.428571428571429,9.0,15-25
85,95,25,2,0.5,2.75,1.26,1.49,16,11.625,6.125,85-95
5,15,20,7,0.75,2.75,1.2600000000000002,1.4899999999999998,16,4.666666666666667,3.0,5-15
1,5,8,3,0.7910447761194029,1.8805970149253728,0.40740000000000004,1.4731970149253728,67,3.0754716981132075,2.642857142857143,1-5
80,95,30,12,1.0,3.0,1.5312500000000002,1.4687499999999998,3,3.0,0.0,80-95
15,20,20,3,0.5454545454545454,3.454545454545454,2.02125,1.433295454545454,11,9.833333333333334,4.2,15-20
5,10,10,15,0.9,2.4000000000000004,0.9712500000000001,1.4287500000000004,20,3.111111111111111,4.0,5-10
85,95,30,10,1.0,2.6666666666666665,1.26,1.4066666666666665,3,2.6666666666666665,0.0,85-95
85,99,18,12,0.9166666666666666,2.3749999999999996,1.0303999999999998,1.3445999999999998,24,4.136363636363637,17.0,85-99
95,99,10,7,0.8285714285714286,1.7428571428571435,0.4074000000000004,1.3354571428571431,35,3.206896551724138,5.333333333333333,95-99
5,10,15,5,0.6086956521739131,2.3043478260869565,0.9712500000000001,1.3330978260869566,23,5.285714285714286,2.3333333333333335,5-10
85,95,18,12,0.9,2.5500000000000003,1.26,1.2900000000000003,20,4.722222222222222,17.0,85-95
1,5,12,5,0.6956521739130435,1.6956521739130432,0.40740000000000004,1.2882521739130433,23,3.6875,2.857142857142857,1-5
90,99,30,10,1.0,2.0,0.7276500000000007,1.2723499999999994,4,2.0,0.0,90-99
15,20,12,18,0.8095238095238095,3.2857142857142856,2.02125,1.2644642857142854,21,5.352941176470588,5.5,15-20
10,20,18,2,0.64,3.04,1.7850000000000001,1.255,25,7.875,5.555555555555555,10-20
80,95,20,12,0.8076923076923077,2.730769230769231,1.5312500000000002,1.1995192307692306,26,4.380952380952381,4.2,80-95
1,10,10,15,0.92,1.9200000000000004,0.7276500000000001,1.1923500000000002,25,2.4347826086956523,4.0,1-10
1,10,12,5,0.6666666666666666,1.9074074074074074,0.7276500000000001,1.1797574074074073,54,4.194444444444445,2.6666666666666665,1-10
95,99,8,12,0.8695652173913043,1.565217391304348,0.4074000000000004,1.1578173913043475,23,2.2,2.6666666666666665,95-99
10,20,15,2,0.6052631578947368,2.8421052631578956,1.7850000000000001,1.0571052631578954,38,7.869565217391305,4.866666666666666,10-20
95,99,8,7,0.8478260869565217,1.4565217391304348,0.4074000000000004,1.0491217391304344,46,2.6153846153846154,5.0,95-99
1,20,25,5,0.84,2.3600000000000003,1.3156500000000002,1.0443500000000001,25,3.1904761904761907,2.0,1-20
1,10,20,5,0.7692307692307693,1.7692307692307694,0.7276500000000001,1.0415807692307693,26,3.05,2.5,1-10
1,15,25,7,0.75,2.0625,1.0304000000000002,1.0320999999999998,16,3.75,3.0,1-15
10,20,18,7,0.8095238095238095,2.8095238095238098,1.7850000000000001,1.0245238095238096,21,4.0,2.25,10-20
75,85,25,5,0.7058823529411765,3.2352941176470593,2.2399999999999998,0.9952941176470596,17,6.25,4.0,75-85
5,15,18,7,0.75,2.25,1.2600000000000002,0.9899999999999998,20,4.0,3.0,5-15
1,25,20,15,0.875,2.5625,1.5834000000000001,0.9790999999999999,16,5.642857142857143,19.0,1-25
85,99,30,10,1.0,2.0,1.0303999999999998,0.9696000000000002,4,2.0,0.0,85-99
1,10,18,5,0.7241379310344828,1.6896551724137934,0.7276500000000001,0.9620051724137932,29,3.238095238095238,2.375,1-10
15,25,18,18,0.8181818181818182,3.1818181818181834,2.24,0.9418181818181832,11,5.888888888888889,9.0,15-25
90,99,30,2,0.6666666666666666,1.6111111111111103,0.7276500000000007,0.8834611111111096,18,6.25,7.666666666666667,90-99
1,20,25,7,0.7894736842105263,2.1578947368421053,1.3156500000000002,0.8422447368421051,19,3.533333333333333,3.0,1-20
90,99,12,12,0.896551724137931,1.5517241379310345,0.7276500000000007,0.8240741379310338,29,2.0384615384615383,2.6666666666666665,90-99
10,15,12,15,0.7777777777777778,2.3333333333333335,1.5312500000000002,0.8020833333333333,18,6.071428571428571,10.75,10-15
5,10,8,5,0.6721311475409836,1.7704918032786883,0.9712500000000001,0.7992418032786882,61,4.048780487804878,2.9,5-10
1,15,20,7,0.8518518518518519,1.8148148148148147,1.0304000000000002,0.7844148148148145,27,2.652173913043478,3.0,1-15
15,20,20,18,0.8,2.8000000000000007,2.02125,0.7787500000000005,5,4.25,3.0,15-20
1,10,10,5,0.7183098591549296,1.4647887323943665,0.7276500000000001,0.7371387323943663,71,3.0980392156862746,2.7,1-10
1,10,20,3,0.7142857142857143,1.4571428571428577,0.7276500000000001,0.7294928571428576,35,4.08,5.1,1-10
90,95,12,12,0.8695652173913043,1.6956521739130437,0.9712499999999997,0.724402173913044,23,2.35,2.6666666666666665,90-95
1,25,20,18,0.7857142857142857,2.2857142857142856,1.5834000000000001,0.7023142857142854,14,4.7272727272727275,6.666666666666667,1-25
10,20,15,3,0.6578947368421053,2.473684210526317,1.7850000000000001,0.6886842105263167,38,6.16,4.615384615384615,10-20
95,99,10,15,0.7692307692307693,1.0769230769230773,0.4074000000000004,0.6695230769230769,13,2.7,4.333333333333333,95-99
1,10,18,3,0.6842105263157895,1.3684210526315792,0.7276500000000001,0.6407710526315791,38,4.1923076923076925,4.75,1-10
85,99,30,2,0.65,1.6500000000000004,1.0303999999999998,0.6196000000000006,20,6.461538461538462,7.285714285714286,85-99
5,10,8,20,0.8823529411764706,1.588235294117647,0.9712500000000001,0.6169852941176469,17,2.1333333333333333,2.5,5-10
95,99,25,18,1.0,1.0,0.4074000000000004,0.5925999999999996,3,1.0,0.0,95-99
95,99,18,18,1.0,1.0,0.4074000000000004,0.5925999999999996,3,1.0,0.0,95-99
95,99,15,18,1.0,1.0,0.4074000000000004,0.5925999999999996,3,1.0,0.0,95-99
95,99,20,18,1.0,1.0,0.4074000000000004,0.5925999999999996,3,1.0,0.0,95-99
95,99,30,18,1.0,1.0,0.4074000000000004,0.5925999999999996,1,1.0,0.0,95-99
80,90,25,5,0.8181818181818182,2.3636363636363638,1.7850000000000006,0.5786363636363632,11,3.7777777777777777,4.0,80-90
1,5,10,5,0.7352941176470589,0.9705882352941179,0.40740000000000004,0.5631882352941178,34,2.36,2.888888888888889,1-5
1,20,15,15,0.7916666666666666,1.8749999999999991,1.3156500000000002,0.5593499999999989,24,4.578947368421052,8.4,1-20
1,15,10,15,0.8333333333333334,1.5833333333333337,1.0304000000000002,0.5529333333333335,48,3.475,7.875,1-15
80,90,15,5,0.6862745098039216,2.333333333333333,1.7850000000000006,0.5483333333333325,51,4.828571428571428,3.125,80-90
1,10,8,20,0.9090909090909091,1.2727272727272725,0.7276500000000001,0.5450772727272724,22,1.65,2.5,1-10
95,99,8,15,0.8333333333333334,0.9444444444444448,0.4074000000000004,0.5370444444444444,18,2.0,4.333333333333333,95-99
10,20,12,2,0.6,2.3199999999999994,1.7850000000000001,0.5349999999999993,75,7.088888888888889,4.833333333333333,10-20
1,15,18,7,0.84375,1.5625,1.0304000000000002,0.5320999999999998,32,2.4074074074074074,3.0,1-15
5,15,10,15,0.813953488372093,1.7674418604651163,1.2600000000000002,0.5074418604651161,43,3.9714285714285715,7.875,5-15
75,90,25,5,0.7142857142857143,2.523809523809524,2.0212500000000007,0.5025595238095235,21,5.0,3.6666666666666665,75-90
95,99,25,3,0.8888888888888888,0.8888888888888884,0.4074000000000004,0.481488888888888,18,1.875,7.0,95-99
15,20,18,18,0.8333333333333334,2.5,2.02125,0.4787499999999998,6,3.6,3.0,15-20
1,20,18,3,0.6557377049180327,1.786885245901639,1.3156500000000002,0.4712352459016389,61,5.075,4.476190476190476,1-20
1,10,12,3,0.7058823529411765,1.1911764705882355,0.7276500000000001,0.4635264705882354,68,3.1458333333333335,3.5,1-10
90,99,25,2,0.6896551724137931,1.1724137931034484,0.7276500000000007,0.4447637931034477,29,4.8,6.888888888888889,90-99
10,15,12,3,0.5882352941176471,1.9705882352941173,1.5312500000000002,0.4393382352941171,34,5.85,3.5714285714285716,10-15
1,10,15,5,0.6842105263157895,1.1578947368421053,0.7276500000000001,0.4302447368421052,38,2.8846153846153846,2.5833333333333335,1-10
15,20,10,2,0.6153846153846154,2.446153846153847,2.02125,0.4249038461538466,65,8.075,6.56,15-20
1,20,15,3,0.6785714285714286,1.7380952380952381,1.3156500000000002,0.42244523809523793,84,4.649122807017544,4.407407407407407,1-20
10,20,18,3,0.6,2.2,1.7850000000000001,0.41500000000000004,25,6.4,4.1,10-20
1,20,20,7,0.8333333333333334,1.6944444444444446,1.3156500000000002,0.37879444444444443,36,2.533333333333333,2.5,1-20
90,95,20,2,0.4,1.35,0.9712499999999997,0.37875000000000036,20,10.5,4.75,90-95
5,10,8,15,0.8333333333333334,1.3333333333333335,0.9712500000000001,0.3620833333333334,30,2.36,3.8,5-10
85,99,15,18,0.9473684210526315,1.3684210526315788,1.0303999999999998,0.338021052631579,19,1.7222222222222223,5.0,85-99
1,10,15,3,0.7,1.0599999999999996,0.7276500000000001,0.3323499999999995,50,3.3142857142857145,4.2,1-10
1,20,12,15,0.7358490566037735,1.6226415094339612,1.3156500000000002,0.30699150943396103,53,4.589743589743589,6.642857142857143,1-20
80,90,12,5,0.6904761904761905,2.0833333333333335,1.7850000000000006,0.2983333333333329,84,4.5,3.3076923076923075,80-90
1,10,8,15,0.875,1.025,0.7276500000000001,0.2973499999999998,40,1.7142857142857142,3.8,1-10
15,25,15,2,0.5111111111111111,2.5333333333333328,2.24,0.29333333333333256,45,10.0,5.2727272727272725,15-25
1,25,25,7,0.8181818181818182,1.8636363636363642,1.5834000000000001,0.28023636363636406,22,2.9444444444444446,3.0,1-25
1,10,15,20,1.0,1.0,0.7276500000000001,0.27234999999999987,6,1.0,0.0,1-10
1,10,25,15,1.0,1.0,0.7276500000000001,0.27234999999999987,2,1.0,0.0,1-10
90,99,30,18,1.0,1.0,0.7276500000000007,0.2723499999999993,2,1.0,0.0,90-99
80,90,20,15,0.9444444444444444,2.0555555555555554,1.7850000000000006,0.27055555555555477,18,2.411764705882353,4.0,80-90
1,15,12,3,0.6631578947368421,1.2947368421052627,1.0304000000000002,0.26433684210526254,95,3.746031746031746,3.53125,1-15
85,95,18,2,0.48717948717948717,1.5128205128205128,1.26,0.25282051282051277,39,7.894736842105263,4.55,85-95
10,20,12,3,0.5733333333333334,2.0266666666666664,1.7850000000000001,0.24166666666666625,75,6.837209302325581,4.4375,10-20
1,20,20,3,0.6481481481481481,1.5555555555555558,1.3156500000000002,0.2399055555555556,54,4.914285714285715,4.631578947368421,1-20
5,10,15,20,1.0,1.2,0.9712500000000001,0.2287499999999999,5,1.2,0.0,5-10
1,20,18,7,0.813953488372093,1.5348837209302326,1.3156500000000002,0.2192337209302324,43,2.4857142857142858,2.625,1-20
10,20,20,18,0.8571428571428571,1.9999999999999996,1.7850000000000001,0.2149999999999994,7,2.8333333333333335,3.0,10-20
10,20,20,15,0.8571428571428571,1.9999999999999973,1.7850000000000001,0.2149999999999972,7,7.333333333333333,30.0,10-20
1,20,12,3,0.6323529411764706,1.5294117647058822,1.3156500000000002,0.21376176470588204,136,4.8023255813953485,4.1,1-20
90,95,18,2,0.4090909090909091,1.1818181818181825,0.9712499999999997,0.21056818181818282,22,9.333333333333334,4.461538461538462,90-95
85,99,15,12,0.8857142857142857,1.2285714285714278,1.0303999999999998,0.198171428571428,35,3.161290322580645,13.75,85-99
85,99,25,2,0.6774193548387096,1.2258064516129026,1.0303999999999998,0.19540645161290282,31,5.0,6.7,85-99
1,25,18,18,0.7777777777777778,1.7777777777777777,1.5834000000000001,0.19437777777777754,18,3.7857142857142856,5.25,1-25
95,99,20,3,0.8846153846153846,0.5769230769230766,0.4074000000000004,0.16952307692307628,26,1.3043478260869565,5.0,95-99
1,20,20,15,0.9090909090909091,1.4545454545454533,1.3156500000000002,0.13889545454545305,11,4.6,30.0,1-20
80,90,18,20,0.8461538461538461,1.923076923076923,1.7850000000000006,0.13807692307692232,13,3.0,4.0,80-90
15,25,15,3,0.5555555555555556,2.3777777777777778,2.24,0.13777777777777755,45,7.76,4.35,15-25
5,15,15,7,0.6896551724137931,1.3793103448275863,1.2600000000000002,0.11931034482758607,29,3.3,2.888888888888889,5-15
95,99,18,3,0.8518518518518519,0.5185185185185186,0.4074000000000004,0.11111851851851823,27,1.3043478260869565,4.0,95-99
1,10,8,5,0.6875,0.8333333333333335,0.7276500000000001,0.10568333333333335,96,2.757575757575758,3.4,1-10
95,99,12,18,0.75,0.5,0.4074000000000004,0.09259999999999963,4,1.0,1.0,95-99
1,10,8,3,0.6875,0.8125,0.7276500000000001,0.08484999999999987,112,2.8051948051948052,3.5714285714285716,1-10
1,15,15,20,0.8888888888888888,1.111111111111111,1.0304000000000002,0.08071111111111073,9,1.375,1.0,1-15
80,95,20,15,0.8695652173913043,1.6086956521739126,1.5312500000000002,0.07744565217391242,23,2.85,6.666666666666667,80-95
85,95,15,18,0.9444444444444444,1.333333333333333,1.26,0.07333333333333303,18,1.7058823529411764,5.0,85-95
80,95,30,10,1.0,1.6,1.5312500000000002,0.06874999999999987,5,1.6,0.0,80-95
1,15,15,7,0.7804878048780488,1.0975609756097562,1.0304000000000002,0.06716097560975598,41,2.21875,2.888888888888889,1-15
1,25,25,5,0.75,1.6428571428571432,1.5834000000000001,0.0594571428571431,28,3.1904761904761907,3.0,1-25
85,95,20,2,0.4375,1.3125,1.26,0.05249999999999999,32,9.0,4.666666666666667,85-95
85,95,18,20,0.8,1.3000000000000003,1.26,0.04000000000000026,10,2.0,1.5,85-95
1,25,20,7,0.8409090909090909,1.6136363636363638,1.5834000000000001,0.030236363636363617,44,2.8378378378378377,4.857142857142857,1-25
5,10,25,15,1.0,1.0,0.9712500000000001,0.028749999999999942,2,1.0,0.0,5-10
15,25,20,2,0.5263157894736842,2.2631578947368416,2.24,0.023157894736841378,19,10.0,6.333333333333333,15-25
95,99,15,3,0.8275862068965517,0.4137931034482759,0.4074000000000004,0.006393103448275539,29,1.25,3.6,95-99
